feature_group_removed,features_removed,features_remaining,full_f1,ablated_f1,f1_change,f1_change_percentage_points,full_recall,ablated_recall,recall_change,full_accuracy,ablated_accuracy,ablated_precision,ablated_specificity,ablated_false_positive_rate,ablated_false_negative_rate,tp,tn,fp,fn
Semantic,3,35,0.8518518518518519,0.8727272727272727,0.020875420875420825,2.0875420875420825,0.8518518518518519,0.8888888888888888,0.03703703703703698,0.8222222222222222,0.8444444444444444,0.8571428571428571,0.7777777777777778,0.2222222222222222,0.1111111111111111,24,14,4,3
Lexical,13,25,0.8518518518518519,0.7843137254901961,-0.06753812636165579,-6.753812636165579,0.8518518518518519,0.7407407407407407,-0.11111111111111116,0.8222222222222222,0.7555555555555555,0.8333333333333334,0.7777777777777778,0.2222222222222222,0.25925925925925924,20,14,4,7
Technical-Consistency,20,18,0.8518518518518519,0.8928571428571429,0.041005291005291045,4.100529100529105,0.8518518518518519,0.9259259259259259,0.07407407407407407,0.8222222222222222,0.8666666666666667,0.8620689655172413,0.7777777777777778,0.2222222222222222,0.07407407407407407,25,14,4,2
Metadata,2,36,0.8518518518518519,0.8518518518518519,0.0,0.0,0.8518518518518519,0.8518518518518519,0.0,0.8222222222222222,0.8222222222222222,0.8518518518518519,0.7777777777777778,0.2222222222222222,0.14814814814814814,23,14,4,4
