method,display_name,n,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,tn,fp,fn
custom,Custom Model,300,0.85,0.8563829787234043,0.8994413407821229,0.8773841961852861,0.7768595041322314,0.2231404958677686,0.1005586592178771,161,94,27,18
hybrid,Hybrid Model,300,0.7566666666666667,0.8154761904761905,0.7653631284916201,0.7896253602305475,0.743801652892562,0.256198347107438,0.2346368715083799,137,90,31,42
ragas,RAGAS,300,0.7466666666666667,0.8011695906432749,0.7653631284916201,0.7828571428571428,0.71900826446281,0.2809917355371901,0.2346368715083799,137,87,34,42
selfcheck,SelfCheck-style,300,0.61,0.6068965517241379,0.9832402234636871,0.7505330490405118,0.05785123966942149,0.9421487603305785,0.01675977653631285,176,7,114,3
similarity,Retrieval Similarity,300,0.55,0.8235294117647058,0.3128491620111732,0.4534412955465587,0.9008264462809917,0.09917355371900827,0.6871508379888268,56,109,12,123
baseline,Baseline,300,0.47333333333333333,0.7142857142857143,0.19553072625698323,0.30701754385964913,0.8842975206611571,0.11570247933884298,0.8044692737430168,35,107,14,144
