method,n,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,tn,fp,fn
hybrid,45,0.8444444444444444,0.9545454545454546,0.7777777777777778,0.8571428571428571,0.9444444444444444,0.05555555555555555,0.2222222222222222,21,17,1,6
ragas,45,0.8222222222222222,0.9130434782608695,0.7777777777777778,0.84,0.8888888888888888,0.1111111111111111,0.2222222222222222,21,16,2,6
custom,45,0.7333333333333333,0.7272727272727273,0.8888888888888888,0.8,0.5,0.5,0.1111111111111111,24,9,9,3
selfcheck,45,0.6,0.6097560975609756,0.9259259259259259,0.7352941176470589,0.1111111111111111,0.8888888888888888,0.07407407407407407,25,2,16,2
similarity,45,0.6222222222222222,0.9166666666666666,0.4074074074074074,0.5641025641025641,0.9444444444444444,0.05555555555555555,0.5925925925925926,11,17,1,16
baseline,45,0.5111111111111111,0.8571428571428571,0.2222222222222222,0.35294117647058826,0.9444444444444444,0.05555555555555555,0.7777777777777778,6,17,1,21
